CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,GROSS BUILDING FLOOR AREA (ft²),NUMBER OF BUILDINGS,OCCUPANCY,POSTAL CODE,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
587.2,10.4,10.4,164043.0,5.0,95.0,90036,Multifamily Housing,61.0,98.3,1301.7,2005.0
533.4,36.5,36.5,155108.0,1.0,100.0,91343,Multifamily Housing,50.8,121.7,9814.2,2002.0
89.7,257.7,257.7,10720.0,1.0,100.0,90044,Other - Recreation,110.3,346.3,9910.2,1977.0
487.0,-9.6,-9.6,194546.0,1.0,95.0,90292,Multifamily Housing,41.2,75.3,8630.3,2000.0
306.5,-50.4,-50.4,134490.0,1.0,50.0,91311,Office,32.4,90.6,5091.9,1986.0
1505.0,-21.3,-21.3,351500.0,1.0,90.0,90045,Hotel,68.6,136.3,19595.2,1984.0
33.1,-53.3,-53.3,58842.0,1.0,100.0,91604,Self-Storage Facility,8.0,22.3,225.0,1995.0
418.7,-25.7,-25.7,195840.0,1.0,95.0,91344,Multifamily Housing,33.4,68.5,7292.8,1997.0
349.2,-32.9,-32.9,134258.0,1.0,95.0,90031,Multifamily Housing,43.2,76.1,9959.8,2006.0
59.8,-5.3,-5.3,22576.0,1.0,100.0,90028,Multifamily Housing,45.3,72.4,1237.3,1957.0
386.4,-3.2,-3.2,119488.0,1.0,100.0,91411,Multifamily Housing,53.1,97.3,6.8,1963.0
14.5,-66.6,-66.6,13905.0,1.0,100.0,90039,Performing Arts,15.8,37.4,130.9,1977.0
603.1,8.4,8.4,117132.0,1.0,100.0,91331,Retail Store,68.1,212.5,915.1,2009.0
52.3,-27.0,-27.0,27640.0,1.0,95.0,90038,Multifamily Housing,31.1,57.1,953.0,1989.0
157.9,-51.1,-51.1,54865.0,1.0,85.0,90038,Office,44.5,94.2,487.8,1991.0
37.8,68.3,68.3,10000.0,1.0,20.0,90732,Other,53.7,150.3,202.7,1997.0
92.9,15.8,15.8,15000.0,1.0,100.0,90012,Bank Branch,88.7,243.0,300.5,1965.0
340.3,-22.3,-22.3,94112.0,1.0,80.0,91311,Office,52.7,137.9,1842.0,1992.0
124.2,61.9,61.9,33714.0,1.0,100.0,90024,Multifamily Housing,58.7,118.9,2136.1,1961.0
1588.5,1486.5,1486.5,64671.0,1.0,100.0,90045,Distribution Center,425.7,644.2,12297.2,1982.0
91.9,-40.3,-40.3,51887.0,3.0,100.0,90033,Office,25.4,69.4,912.1,1986.0
9.5,-94.4,-94.4,56068.0,3.0,100.0,90005,Retail Store,2.4,6.7,5299.6,1979.0
204.1,38.5,38.5,36504.0,1.0,100.0,90048,Office,85.8,194.8,564.0,1964.0
132.7,-8.7,-8.7,50101.0,1.0,95.0,91367,Multifamily Housing,43.7,79.2,2614.8,1971.0
104.0,-40.1,-40.1,98056.0,1.0,100.0,90004,Multifamily Housing,14.0,43.9,2708.5,1930.0
1509.1,-6.1,-6.1,494235.0,8.0,95.0,90045,Multifamily Housing,50.9,89.0,20038.8,1987.0
843.9,194.0,194.0,181132.0,1.0,100.0,91352,Non-Refrigerated Warehouse,72.5,157.6,3256.4,1980.0
342.6,-75.0,-75.0,160681.0,1.0,80.0,91304,Office,32.0,73.5,4360.4,1999.0
2982.1,-45.8,-45.8,1118941.0,1.0,80.0,90017,Office,37.8,105.9,9989.3,1990.0
125.9,56.6,56.6,34175.0,1.0,100.0,90005,Multifamily Housing,58.7,118.9,2165.3,1962.0
67.7,50.0,50.0,12500.0,1.0,100.0,90012,Library,76.9,215.4,165.3,2005.0
176.3,-38.9,-38.9,162348.0,1.0,100.0,90045,Distribution Center,14.3,45.0,1485.6,1997.0
387.2,112.6,112.6,55992.0,1.0,85.0,91356,Medical Office,101.1,248.1,1098.9,2007.0
112.2,-26.0,-26.0,57064.0,1.0,100.0,90018,Multifamily Housing,31.9,61.1,1486.4,2009.0
181.2,21.3,21.3,52968.0,1.0,100.0,90006,Multifamily Housing,58.7,92.1,5586.5,1926.0
123.2,-20.4,-20.4,56775.0,1.0,100.0,91602,Multifamily Housing,33.8,69.9,2493.3,1980.0
89.4,-39.4,-39.4,51101.0,1.0,95.0,91343,Multifamily Housing,26.9,57.8,2930.9,1963.0
36.5,-24.3,-24.3,22614.0,1.0,100.0,90025,Multifamily Housing,22.9,64.1,867.0,1969.0
54.1,-33.7,-33.7,22748.0,1.0,100.0,91352,Multifamily Housing,39.8,68.5,1852.9,1986.0
30.6,-55.9,-55.9,25186.0,1.0,100.0,90024,Multifamily Housing,21.1,31.7,904.0,1988.0
53.6,31.5,31.5,13500.0,1.0,100.0,90038,Retail Store,56.4,157.9,240.9,1945.0
149.7,-27.5,-27.5,67720.0,1.0,100.0,90057,Multifamily Housing,35.1,68.6,3664.7,1976.0
134.9,18.2,18.2,37348.0,1.0,100.0,90066,Office,52.6,137.6,271.5,1969.0
4.7,-90.9,-90.9,23898.0,1.0,100.0,91304,Multifamily Housing,2.8,7.8,1177.2,1989.0
672.9,-20.3,-20.3,250719.0,1.0,100.0,91601,Multifamily Housing,42.3,88.5,11463.1,2006.0
167.3,10.0,10.0,35949.0,1.0,100.0,91356,Office,72.4,157.4,645.4,1963.0
214.8,-12.9,-12.9,71437.0,1.0,100.0,90028,Multifamily Housing,48.0,96.5,3589.2,1980.0
298.0,-36.2,-36.2,148890.0,1.0,95.0,91403,Multifamily Housing,31.6,65.8,5420.4,1988.0
903.3,22.3,22.3,192306.0,1.0,95.0,90036,Multifamily Housing,82.4,116.1,5222.2,1951.0
1594.7,-31.5,-31.5,332082.0,1.0,100.0,90025,Office,55.3,173.8,4348.4,1984.0
97.2,-19.1,-19.1,30691.0,1.0,90.0,90046,Multifamily Housing,55.0,82.8,1701.8,1963.0
66.1,-87.3,-87.3,35238.0,1.0,85.0,90731,K-12 School,35.1,37.8,606.7,1981.0
215.6,15.4,15.4,47595.0,1.0,95.0,90036,Multifamily Housing,80.2,109.2,3536.1,1951.0
27.8,4.4,4.4,7361.0,1.0,100.0,90038,Library,53.6,150.0,343.3,1996.0
19.6,-80.3,-80.3,25560.0,1.0,100.0,90019,Multifamily Housing,14.3,15.8,1139.5,2005.0
142.4,96.4,96.4,20058.0,1.0,95.0,91306,Multifamily Housing,126.3,172.3,1362.2,1975.0
396.1,9.0,9.0,124363.0,1.0,95.0,91605,Multifamily Housing,54.1,88.4,8761.4,1970.0
17.6,-61.9,-61.9,24273.0,1.0,100.0,91042,Multifamily Housing,10.3,28.8,953.8,1980.0
