CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
306.5,-50.4,-50.4,134490,1,50,91311,Office,32.4,90.6,5091.9,1986
1505,-21.3,-21.3,351500,1,90,90045,Hotel,68.6,136.3,19595.2,1984
33.1,-53.3,-53.3,58842,1,100,91604,Self-Storage Facility,8,22.3,225,1995
418.7,-25.7,-25.7,195840,1,95,91344,Multifamily Housing,33.4,68.5,7292.8,1997
349.2,-32.9,-32.9,134258,1,95,90031,Multifamily Housing,43.2,76.1,9959.8,2006
59.8,-5.3,-5.3,22576,1,100,90028,Multifamily Housing,45.3,72.4,1237.3,1957
386.4,-3.2,-3.2,119488,1,100,91411,Multifamily Housing,53.1,97.3,6.8,1963
14.5,-66.6,-66.6,13905,1,100,90039,Performing Arts,15.8,37.4,130.9,1977
603.1,8.4,8.4,117132,1,100,91331,Retail Store,68.1,212.5,915.1,2009
52.3,-27,-27,27640,1,95,90038,Multifamily Housing,31.1,57.1,953,1989
157.9,-51.1,-51.1,54865,1,85,90038,Office,44.5,94.2,487.8,1991
37.8,68.3,68.3,10000,1,20,90732,Other,53.7,150.3,202.7,1997
92.9,15.8,15.8,15000,1,100,90012,Bank Branch,88.7,243,300.5,1965
340.3,-22.3,-22.3,94112,1,80,91311,Office,52.7,137.9,1842,1992
124.2,61.9,61.9,33714,1,100,90024,Multifamily Housing,58.7,118.9,2136.1,1961
1588.5,1486.5,1486.5,64671,1,100,90045,Distribution Center,425.7,644.2,12297.2,1982
91.9,-40.3,-40.3,51887,3,100,90033,Office,25.4,69.4,912.1,1986
9.5,-94.4,-94.4,56068,3,100,90005,Retail Store,2.4,6.7,5299.6,1979
204.1,38.5,38.5,36504,1,100,90048,Office,85.8,194.8,564,1964
132.7,-8.7,-8.7,50101,1,95,91367,Multifamily Housing,43.7,79.2,2614.8,1971
104,-40.1,-40.1,98056,1,100,90004,Multifamily Housing,14,43.9,2708.5,1930
1509.1,-6.1,-6.1,494235,8,95,90045,Multifamily Housing,50.9,89,20038.8,1987
843.9,194,194,181132,1,100,91352,Non-Refrigerated Warehouse,72.5,157.6,3256.4,1980
342.6,-75,-75,160681,1,80,91304,Office,32,73.5,4360.4,1999
2982.1,-45.8,-45.8,1118941,1,80,90017,Office,37.8,105.9,9989.3,1990
125.9,56.6,56.6,34175,1,100,90005,Multifamily Housing,58.7,118.9,2165.3,1962
67.7,50,50,12500,1,100,90012,Library,76.9,215.4,165.3,2005
176.3,-38.9,-38.9,162348,1,100,90045,Distribution Center,14.3,45,1485.6,1997
387.2,112.6,112.6,55992,1,85,91356,Medical Office,101.1,248.1,1098.9,2007
112.2,-26,-26,57064,1,100,90018,Multifamily Housing,31.9,61.1,1486.4,2009
181.2,21.3,21.3,52968,1,100,90006,Multifamily Housing,58.7,92.1,5586.5,1926
123.2,-20.4,-20.4,56775,1,100,91602,Multifamily Housing,33.8,69.9,2493.3,1980
89.4,-39.4,-39.4,51101,1,95,91343,Multifamily Housing,26.9,57.8,2930.9,1963
36.5,-24.3,-24.3,22614,1,100,90025,Multifamily Housing,22.9,64.1,867,1969
54.1,-33.7,-33.7,22748,1,100,91352,Multifamily Housing,39.8,68.5,1852.9,1986
30.6,-55.9,-55.9,25186,1,100,90024,Multifamily Housing,21.1,31.7,904,1988
53.6,31.5,31.5,13500,1,100,90038,Retail Store,56.4,157.9,240.9,1945
149.7,-27.5,-27.5,67720,1,100,90057,Multifamily Housing,35.1,68.6,3664.7,1976
134.9,18.2,18.2,37348,1,100,90066,Office,52.6,137.6,271.5,1969
4.7,-90.9,-90.9,23898,1,100,91304,Multifamily Housing,2.8,7.8,1177.2,1989
672.9,-20.3,-20.3,250719,1,100,91601,Multifamily Housing,42.3,88.5,11463.1,2006
167.3,10,10,35949,1,100,91356,Office,72.4,157.4,645.4,1963
214.8,-12.9,-12.9,71437,1,100,90028,Multifamily Housing,48,96.5,3589.2,1980
298,-36.2,-36.2,148890,1,95,91403,Multifamily Housing,31.6,65.8,5420.4,1988
903.3,22.3,22.3,192306,1,95,90036,Multifamily Housing,82.4,116.1,5222.2,1951
1594.7,-31.5,-31.5,332082,1,100,90025,Office,55.3,173.8,4348.4,1984
97.2,-19.1,-19.1,30691,1,90,90046,Multifamily Housing,55,82.8,1701.8,1963
66.1,-87.3,-87.3,35238,1,85,90731,K-12 School,35.1,37.8,606.7,1981
215.6,15.4,15.4,47595,1,95,90036,Multifamily Housing,80.2,109.2,3536.1,1951
27.8,4.4,4.4,7361,1,100,90038,Library,53.6,150,343.3,1996
19.6,-80.3,-80.3,25560,1,100,90019,Multifamily Housing,14.3,15.8,1139.5,2005
142.4,96.4,96.4,20058,1,95,91306,Multifamily Housing,126.3,172.3,1362.2,1975
396.1,9,9,124363,1,95,91605,Multifamily Housing,54.1,88.4,8761.4,1970
17.6,-61.9,-61.9,24273,1,100,91042,Multifamily Housing,10.3,28.8,953.8,1980
13.6,-91.1,-91.1,55000,1,100,90065,Multifamily Housing,3.3,10.3,4112.8,1988
