CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
25.7,-86.7,-86.7,55674,1,100,91311,Multifamily Housing,8.1,11.5,3007.9,1964
40,-36.2,-36.2,54518,1,100,91402,Self-Storage Facility,9.7,30.4,96,2010
588.9,4,4,34570,1,100,90034,Supermarket/Grocery Store,261.8,591,929,1966
49.8,4.2,4.2,10454,1,100,90710,Fire Station,72.3,160.9,423.8,1980
46.2,-66.2,-66.2,36440,1,100,90006,Multifamily Housing,23,28.9,2889.6,1971
34.8,-57.3,-57.3,67819,1,100,91605,Self-Storage Facility,7.3,20.4,288,1985
62.6,-32.6,-32.6,22864,1,100,90004,Multifamily Housing,46.5,75.8,1213.8,1926
54.2,-47.4,-47.4,85679,1,90,90066,Self-Storage Facility,9,25.2,540.1,2002
20.7,-78.8,-78.8,33387,1,95,91316,Office,8.8,24.6,351.5,1987
125.7,-24.6,-24.6,56798,1,100,91356,Multifamily Housing,36.9,64.3,2066.1,1979
7.9,-92.9,-92.9,55042,1,40,91605,Multifamily Housing,2,5.7,3288.4,1979
18.8,-86.5,-86.5,100870,1,100,91405,Self-Storage Facility,2.3,6.4,167,2009
3.3,-96.1,-96.1,28314,2,95,90068,Multifamily Housing,1.7,4.6,584.1,1941
30.5,-65.9,-65.9,76831,1,100,91316,Self-Storage Facility,5.3,16.2,393.5,2004
1282.2,457.1,457.1,78611,1,70,90017,Office,231.5,648.3,1832.3,1965
170.5,-68.1,-68.1,207244,1,100,90731,Distribution Center,10.8,34.1,5375.4,2001
1175.1,-14.1,-14.1,680716,1,95,90012,Multifamily Housing,25.8,63.1,11066.7,1989
2191,-9,-9,454000,1,90,90045,Hotel,74.1,159.8,34313.8,1958
426.3,3.9,3.9,120928,5,95,90036,Multifamily Housing,60.2,96.2,959.6,2005
73.3,88,88,20620,1,100,90046,Worship Facility,53.7,127.4,998.1,1959
55.4,-81.5,-81.5,82960,1,100,90042,Multifamily Housing,9.9,23.6,4087.1,1988
226.7,4,4,76711,1,85,90048,Medical Office,39.2,121.4,312.7,1986
208.2,-22.4,-22.4,50115,1,95,90045,Office,59.6,153.5,871.7,1966
17908.8,12289.3,12289.3,66677,1,95,90036,Multifamily Housing,3562.1,11042.4,3804.6,1951
75.9,9.4,9.4,27645,1,95,90008,Multifamily Housing,45.8,79.7,3286.1,1959
451.3,114.6,114.6,229628,1,100,90013,Multifamily Housing,27.9,78.1,9141.9,1923
14.9,-86,-86,28610,1,100,91604,Multifamily Housing,8.3,16.5,1128.1,2002
30.7,-50.3,-50.3,24480,1,95,91401,Multifamily Housing,17.8,49.9,34.9,2005
102.4,268.9,268.9,45714,1,100,91352,Non-Refrigerated Warehouse,31.8,89.1,109.2,1977
189.9,-34.3,-34.3,96966,1,70,90006,Office,28.3,75.6,345.4,1968
4.3,-89.8,-89.8,23752,1,40,90026,Office,2.5,7.1,127.9,1932
131.3,-37.1,-37.1,70675,7,95,91606,Multifamily Housing,24.5,76.9,5420.4,1965
174.8,2.5,2.5,77030,1,100,90013,Multifamily Housing,34.9,78.8,1237.7,2004
25.5,8.9,8.9,9938,1,100,90033,Other - Recreation,34,105.4,1822.3,1950
99.3,-75.7,-75.7,74700,1,5,90045,Office,18.9,52.8,2605.5,1990
21.1,-76.2,-76.2,86760,1,100,90501,Non-Refrigerated Warehouse,3.5,9.7,153.4,1962
2908.2,3244.3,3244.3,15990,1,50,90045,Other - Utility,3288.1,4117.5,158.6,1982
152.7,-35.9,-35.9,95775,1,100,90037,Multifamily Housing,26.2,48,3053.5,2017
28.5,-44.7,-44.7,26931,1,85,90012,Multifamily Housing,15,42,718.9,2008
46.6,-32.2,-32.2,27640,1,95,90038,Multifamily Housing,27.3,52.7,802.7,1989
78.6,-55.1,-55.1,49587,1,100,90024,Multifamily Housing,26.7,43.2,2302.5,1969
42.5,-48.1,-48.1,27930,1,85,90010,Office,21.6,60.4,315,1967
202.5,-15.3,-15.3,72544,1,100,91405,Multifamily Housing,44.4,90.2,3198.1,1982
25,-86.4,-86.4,139868,1,100,91406,Self-Storage Facility,2.1,6.5,330,1995
60.2,14.5,14.5,37000,1,45,90031,Worship Facility,23.1,64.7,823.6,2017
4.1,-73.3,-73.3,7452,1,100,90033,Worship Facility,9.1,15.6,66.1,1934
174.7,-13.9,-13.9,82475,1,100,91335,Multifamily Housing,33.2,70.7,3453.5,2013
469.1,-19.2,-19.2,238159,1,95,90027,Multifamily Housing,31.9,61.4,7686.1,1989
763.6,287.9,287.9,164130,1,100,90047,Distribution Center,72.4,157.4,2946.7,1924
11,-80.2,-80.2,25026,1,100,91403,Multifamily Housing,6.3,17.5,1229,1985
86.7,61.9,61.9,23521,1,100,90025,Multifamily Housing,58.7,118.9,1490.3,1985
2204.1,181.4,181.4,108702,1,100,90710,Medical Office,354.4,518.8,0,2015
83.7,-24.6,-24.6,30572,1,100,90027,Multifamily Housing,46.5,75.8,928.5,1928
381.5,-16.4,-16.4,21963,3,100,90036,Multifamily Housing,303.6,444.1,2209.8,2002
49.9,-61.9,-61.9,54000,5,100,90026,Multifamily Housing,12.2,38.2,3800.1,1970
573.8,104.6,104.6,65419,1,100,90047,Retail Store,119.6,348.2,751.8,1965
39.7,-33.3,-33.3,12992,1,100,90027,Fire Station,46.4,103,460.9,2010
482.8,288.3,288.3,103768,1,100,90059,Non-Refrigerated Warehouse,72.4,157.4,1862.6,1972
2234.7,36.9,36.9,275375,1,100,90012,Hotel,130,258.6,24453.4,1977
23.4,-84.1,-84.1,63466,1,100,90005,Multifamily Housing,5.2,14.6,3434.9,1990
338.2,-20.3,-20.3,101300,1,95,90293,Multifamily Housing,47.4,132.7,11000.1,2004
63.5,-26.8,-26.8,28670,1,100,91306,Multifamily Housing,34,77.1,2411.6,1985
741.6,-0.3,-0.3,290809,1,100,90012,Multifamily Housing,40.3,83.6,8502.8,2014
698.1,5.1,5.1,192306,1,95,90036,Multifamily Housing,63.8,91.3,8986.3,1951
62,-22.7,-22.7,24120,1,100,90020,Multifamily Housing,43.4,72.5,1280.5,1990
274.1,78.4,78.4,81204,1,100,90016,Non-Refrigerated Warehouse,52.1,116.1,1784.3,1971
79.7,29.1,29.1,27500,1,100,91356,Other,41.1,115.2,268.1,1992
2.9,-93.9,-93.9,22397,1,100,91304,Multifamily Housing,1.9,5.2,1067.5,1988
36,-50.6,-50.6,63461,1,100,91364,Self-Storage Facility,7.5,23.5,392,2006
105.5,-2,-2,34256,1,100,91405,Multifamily Housing,52.7,83.6,2911.4,1970
342.8,-2.4,-2.4,113623,1,100,91402,Multifamily Housing,51.3,83.2,4228.7,1973
23.6,-79.8,-79.8,22494,1,100,91606,Multifamily Housing,19,23.8,1065.6,1977
131.1,61.9,61.9,35577,1,100,90048,Multifamily Housing,58.7,118.9,2254.2,1969
3509.9,9.1,9.1,895279,1,100,90007,Mixed Use Property,59,134.3,13857.7,2015
306.1,-32.7,-32.7,132999,1,95,91406,Multifamily Housing,37.6,70.2,4763.6,2015
1036.5,9.6,9.6,173135,1,100,90731,Hotel,92.2,196.9,10756.4,1990
1089.2,-29.8,-29.8,237759,1,90,91436,Office,70.9,157,5033.6,1986
680.8,-3.1,-3.1,180111,1,90,91324,Retail Store,61.5,116.3,3622.6,2000
292.9,-14.9,-14.9,59723,1,100,91307,Office,72.4,173.2,1072.2,1979
11,-3.3,-3.3,11040,1,100,90007,Distribution Center,14.1,39.6,36.7,1934
66.9,-12.6,-12.6,32678,1,95,90049,Multifamily Housing,31.4,71.5,1045.2,1959
146.3,135.6,135.6,21600,1,100,90021,Refrigerated Warehouse,96.1,269.2,35.9,1966
56.1,-34.9,-34.9,22000,1,95,91601,Multifamily Housing,43,72.1,1075.1,1957
29.8,-46.4,-46.4,16000,1,0,90046,Retail Store,26.4,74,59.1,2008
5584.1,-51.1,-51.1,1546011,1,100,90013,Office,53.4,127.2,6859.3,1991
41.8,-45.9,-45.9,52416,1,100,90045,Distribution Center,11.8,29.7,107,2015
102.3,-61.2,-61.2,53760,1,100,90025,Office,26.8,72,353.5,1990
733.7,67.8,67.8,67681,1,100,90291,Office,159.9,405.1,1920.3,2008
82.7,-79.1,-79.1,31534,1,85,91352,Supermarket/Grocery Store,37.2,104.2,412.2,1958
294.7,-33,-33,112785,1,90,90005,Multifamily Housing,40.8,83.7,1603.1,2016
44.3,-27.2,-27.2,17669,1,100,91402,Fire Station,37.6,90.9,144.1,2007
878.2,10.5,10.4,110000,1,100,90010,Office,117,301.4,2698.2,1984
2806.2,21.1,21.1,818090,1,100,90048,Medical Office,45.4,141.3,7000.6,2013
38.3,-56.8,-56.8,27257,2,100,91343,Office,21.2,50.3,91.3,1956
25.3,-69.8,-69.8,70981,1,100,90034,Self-Storage Facility,4.8,14.4,187,1990
89.5,9,9,24564,1,100,91405,Multifamily Housing,61.3,103.7,1968.9,1987
420.9,217.8,217.8,29505,1,100,90025,Police Station,214.2,490.6,477.6,1990
1087.9,-68.9,-68.9,416000,1,100,90012,College/University,41.4,81.7,714.4,1997
856.3,-2.3,-2.3,146607,1,80,90017,Medical Office,84.8,224,4548.3,1965
459.3,49.3,49.3,94000,1,100,90021,Wholesale Club/Supercenter,64.4,202.3,795.2,1992
293.7,2.9,2.9,51295,1,90,91367,Office,87.7,199.7,2501.5,1978
139.7,-72.2,-72.2,105133,1,100,90012,Hotel,18.6,50.8,461.6,1986
150.3,-62,-62,104061,1,45,90731,Hotel,24.6,39.8,3994.9,1979
57.1,9.9,9.9,12000,1,100,90744,Fire Station,69.8,169.6,490,1968
28.8,-19.1,-19.1,54016,1,100,90061,Distribution Center,7,22.1,573,1976
36.5,3.8,3.8,9175,1,100,90018,Fire Station,63.1,129.7,871.5,1970
332,-27.4,-27.4,160710,1,95,91316,Multifamily Housing,35.5,66.7,7360.1,2004
190.4,-47.4,-47.4,153428,1,100,90015,Multifamily Housing,19.3,40.3,3666.8,2005
2076.6,291.1,291.1,98618,1,95,90048,Medical Office,326.6,717.6,3286.9,1990
148.5,39.5,39.5,40312,1,100,91344,Multifamily Housing,58.7,118.9,2554.2,1987
936.6,-41.2,-41.2,187921,1,100,90028,Office,60.1,174.4,2891.3,1972
222.5,-4.2,-4.2,64289,1,95,90036,Multifamily Housing,61.4,84.6,4655.1,1951
19.9,-23.3,-23.3,40000,1,100,91605,Non-Refrigerated Warehouse,7.1,19.6,172.8,1965
611,-48.7,-48.7,543000,1,100,90015,Multifamily Housing,17.3,39,44.9,2017
65.5,-26.8,-26.8,82000,1,85,90015,Non-Refrigerated Warehouse,10.5,33.1,222.9,2004
105.4,19.6,19.6,25998,1,100,90717,Retail Store,57.6,161.2,438.7,2000
3969.5,-51,-51,1003459,1,100,90017,Office,45.6,143.2,51718.9,1985
31.9,-67.5,-67.5,85472,1,95,91405,Self-Storage Facility,4.9,15.5,53.9,2004
50.4,-56.1,-56.1,39238,1,10,90045,Office,18.3,51.1,1732.1,1974
39.4,-77.2,-77.2,30562,1,75,91367,Retail Store,18.4,51.5,722.9,1992
179.1,-17.1,-17.1,73773,2,100,90025,Office,34.5,96.5,1171.7,1978
336.5,42.5,42.5,98000,1,100,90046,Multifamily Housing,54,114,6209.3,2014
142,-28.6,-28.6,79380,1,100,90020,Multifamily Housing,29.1,55.1,1764.7,1972
606.1,-54.3,-54.3,260629,1,65,90045,Office,30.7,96.3,2966.5,1972
48,-55,-55,31650,1,100,90018,Multifamily Housing,27.9,32.8,1278.6,2005
8.5,-70.7,-70.7,8079,1,100,91401,Office,14.9,41.6,30.8,2000
32.8,-79.7,-79.7,61106,1,95,90028,Multifamily Housing,7.1,22.2,3964.7,1989
566.4,-6.6,-6.6,238159,1,95,90027,Multifamily Housing,36.3,79.5,8302.1,1989
21.7,-66.5,-66.5,48620,2,5,91352,Non-Refrigerated Warehouse,6.3,17.7,527.6,1988
37.4,-40.2,-40.2,50910,1,100,90038,Self-Storage Facility,10.6,28.6,589,2009
53.8,25.9,25.9,14832,1,100,91405,Other - Services,54.1,126.4,162,1990
82.9,-2.5,-2.5,36518,1,100,90034,Multifamily Housing,35.7,75.2,1490.1,1987
176,-37.9,-37.9,123450,1,95,90057,Multifamily Housing,18.8,59,8.8,1970
89.3,228.9,228.9,11203,1,100,91606,Other - Recreation,108.2,318.5,13025.8,1991
1.7,-99.6,-99.6,160127,1,100,91303,Other - Mall,0.1,0.4,4284,1999
113,203.8,203.8,15306,1,100,90501,Other - Recreation,100.4,294.1,9321.5,1978
498.3,59.9,59.9,128817,1,100,90021,Multifamily Housing,59.3,128.3,5423.4,2007
307.3,-31,-31,133000,1,100,91356,Senior Care Community,30.5,95.7,6968.9,2008
106.1,-32.5,-32.5,51492,1,100,91402,Multifamily Housing,27.2,85.3,5848.3,1986
116.5,-19.2,-19.2,72204,1,100,90018,Multifamily Housing,25.3,54,7158.1,2013
47,-71.3,-71.3,103796,1,95,90021,Distribution Center,6.4,18,234.9,1997
1099.2,-58.9,-58.9,380941,1,85,91436,Office,34.4,101.9,3875.4,1975
132.4,-74.8,-74.8,167000,1,0,91345,Automobile Dealership,10.5,32.8,496.7,2003
81.1,-11.7,-11.7,69845,1,100,91324,Self-Storage Facility,13.4,42,153,1986
500.3,-34.2,-34.2,365343,1,95,90094,Multifamily Housing,19.4,54.4,13286.1,2004
76.7,13.5,13.5,22823,1,100,91607,Multifamily Housing,57.6,90.8,1056.2,1960
800.4,-24.5,-24.5,171969,1,100,91367,Other - Mall,69.5,170.1,7401.2,1972
93.4,263,263,11915,1,100,91402,Other - Recreation,119.1,351.5,0,1985
59.1,-9.2,-9.2,26496,1,95,90027,Multifamily Housing,36.6,67.2,884883.4,1960
46.5,-83.1,-83.1,48800,1,95,90024,Other - Lodging/Residential,16.7,24.2,1862.4,1991
339,-4.9,-4.9,63012,1,95,91307,Medical Office,77,211.1,491.4,1975
52.5,-46.3,-46.3,26680,1,95,91403,Multifamily Housing,31.3,63.4,1110.6,1970
641,-38.5,-38.5,161409,1,85,91601,Office,52.4,164.4,3092.6,1989
591.7,-0.5,-0.5,249999,1,80,90028,Multifamily Housing,36.7,80.9,13196.5,2010
59.1,-9.2,-9.2,26496,1,95,90027,Multifamily Housing,36.6,67.2,1182.9,1960
47.4,-20.8,-20.8,23995,1,100,90015,K-12 School,28.3,77.5,558.6,2012
2.1,-98.1,-98.1,27891,1,100,90065,Office,1.1,3,479.8,1987
21.7,-66.4,-66.4,21777,1,100,90020,Multifamily Housing,14.2,39.7,1034.6,1962
798.9,-31,-31,173560,1,100,90048,Medical Office,67.9,171.9,4479.7,1980
34.3,-53.5,-53.5,25175,4,100,91311,Office,19.3,54.1,794.4,1987
59.4,-49.5,-49.5,34150,1,100,90024,Multifamily Housing,30.5,44.4,1564,1986
12.4,-56.9,-56.9,22000,1,100,91304,Worship Facility,8,22.5,101,1979
14.6,-79.7,-79.7,62442,1,90,90710,Self-Storage Facility,3.1,9.7,43.3,1982
1810.3,-35,-35,494575,1,80,90017,Office,48.4,151.1,6472.7,1992
626.2,4.9,4.9,220767,1,100,90024,Multifamily Housing,44.3,95.1,10082.6,2001
11.6,-88.7,-88.7,29271,1,100,90005,Multifamily Housing,6.2,13.3,1466.5,1991
138.5,-41.5,-41.5,58141,1,95,91601,Multifamily Housing,33.8,94.7,4656.6,1964
19.6,-47.4,-47.4,13400,1,100,91405,Other - Services,21.4,52.8,57.2,1990
65.9,62.1,62.1,31000,1,100,91331,Distribution Center,32.7,73.6,1481.1,1972
39,4.8,4.8,8323,1,100,91356,Fire Station,70.1,161.8,438.8,1960
5.9,-92.5,-92.5,58550,1,100,90013,Distribution Center,1.4,4,26.4,1926
24.9,-82.7,-82.7,121800,1,100,90015,Self-Storage Facility,2.7,8.2,102,2001
75.8,-67.6,-67.6,67532,1,100,90230,Multifamily Housing,20.8,23.8,208.7,1987
92.1,34.2,34.2,19000,1,100,90028,Library,68.8,192.7,192.2,2006
73.6,64.9,64.9,16515,1,100,90011,Other - Recreation,65.3,159.7,2496.2,1983
57,26.2,26.2,12500,1,100,90036,Library,64.8,181.3,138.2,2005
128,-37.9,-37.9,71634,1,100,91423,Multifamily Housing,29.6,52.9,1676.4,1969
12.7,-92.4,-92.4,138215,1,100,90744,Self-Storage Facility,1.3,3.6,116,1978
216.9,-40.4,-40.4,53365,1,100,90066,Office,56.7,124.9,542.6,1995
43.2,-46.2,-46.2,24000,1,100,90005,Multifamily Housing,32.7,40.8,1868.8,1923
112.8,-32.9,-32.9,64652,1,100,91601,Multifamily Housing,27.3,58.4,3175.5,2013
115.3,-49.2,-49.2,53760,1,100,90025,Office,32.5,76.5,2317,1990
78.7,4.2,4.2,31410,1,100,90024,Multifamily Housing,40.9,76.5,1643.5,1988
116.9,-12,-12,38854,1,90,91406,Multifamily Housing,49.4,90.9,1582.9,2004
223.6,-29.2,-29.2,108192,1,95,90020,Multifamily Housing,33.3,65.2,5870.7,1989
239.8,-1.1,-1.1,59428,1,95,91367,Office,59.9,149.2,1250.1,1986
30,35.8,35.8,15004,1,100,91352,Non-Refrigerated Warehouse,30,72.8,447.4,1990
75.8,-21.6,-21.6,89750,1,100,91331,Distribution Center,12,33.5,2045.2,1954
8.5,-91.6,-91.6,41869,1,100,90020,Multifamily Housing,2.9,8,3429.1,1964
65.3,-12,-12,21000,1,100,91411,Office,45.2,118.7,231,1998
73.6,-35.3,-35.3,20802,1,95,91343,Office,50.2,140.7,373.2,2003
780.1,16.3,16.3,361680,1,95,90045,Non-Refrigerated Warehouse,28.5,89,3272,1963
260.6,1.3,1.3,56000,1,75,90012,Financial Office,65,178.8,44.3,1978
9.2,-86.5,-86.5,28285,1,95,91342,Multifamily Housing,4.6,13,2656.3,1985
116.1,40.1,40.1,21636,1,100,90016,Office,80,196.8,263.8,1981
1881,154.5,154.5,163943,1,100,90089,Outpatient Rehabilitation/Physical Therapy,187,351.9,11794.5,2004
116.2,-13.1,-13.1,36000,1,100,91316,Multifamily Housing,54.1,92.6,1098.9,1987
27.9,-84.3,-84.3,200000,1,100,90058,Distribution Center,7.5,11.4,409.2,1925
512.6,4.1,4.1,163614,2,95,90292,Multifamily Housing,49.4,98.6,7786.1,1998
868.8,1874,1874,14226,1,80,90023,Other,1021.2,1762.3,2150.3,2000
38.6,-13,-13,12269,1,100,90018,Library,44.7,125,445.8,2000
33.3,-74.7,-74.7,32513,1,100,90034,Multifamily Housing,17.9,26.3,762.1,1985
65.2,-10.2,-10.2,37000,1,45,90031,Worship Facility,23.2,72.9,794.3,1989
330.6,-18,-18,112785,1,90,90005,Multifamily Housing,47,93.5,4523.5,2016
127.7,-58.3,-58.3,147000,1,95,90017,Multifamily Housing,12.3,34.5,4455.4,2008
28.7,-40.6,-40.6,50814,1,100,90502,Non-Refrigerated Warehouse,8,22.4,888.3,1979
1302.5,-42.6,-42.6,360475,1,90,90024,Office,49.3,143.3,5959,1965
388.7,-23.2,-23.2,90000,1,50,91311,Hotel,70.8,130.9,2407.6,1991
28.9,-76.1,-76.1,22494,1,95,91606,Multifamily Housing,23.6,28.3,807.1,1977
132.9,9.6,9.6,91487,1,100,90004,Self-Storage Facility,16.9,52.1,205,1995
46.3,-61.1,-61.1,23700,1,100,91303,Office,33.5,52.9,65.8,1969
759.9,-1.1,-1.1,260000,1,95,90034,Mixed Use Property,43.7,106.5,5551.7,1930
39.2,-80.8,-80.8,38605,1,100,90025,Multifamily Housing,18.5,22.6,1779.5,1988
908.1,23.4,23.4,192306,1,95,90036,Multifamily Housing,82.7,117.1,125.7,1951
654.5,40.8,40.8,81000,2,100,91345,Strip Mall,106.5,334.5,2908.4,1954
1711.3,1598.6,1598.6,64671,1,100,90045,Distribution Center,459.9,688.3,13110.4,1982
301.5,-19.9,-19.9,107481,1,100,90007,Residence Hall/Dormitory,43,93.3,4723.5,1972
143.8,84.7,84.7,30898,1,100,91401,Multifamily Housing,72.4,157.4,554.7,1950
56.1,-69.5,-69.5,122300,1,100,90058,Non-Refrigerated Warehouse,6.1,19,256.1,1971
191.4,-28.4,-28.4,92895,1,100,90015,Multifamily Housing,35.6,54.4,1667.8,1980
174.1,-74.2,-74.2,277904,1,90,90034,Multifamily Housing,7.2,22.7,1519140.1,1966
437.6,232.4,232.4,29505,1,100,90025,Police Station,221.9,513.1,632.1,1990
578.4,-22.4,-22.4,277680,1,95,90046,Multifamily Housing,33.1,67.6,5177.3,1987
38.4,-46.7,-46.7,60000,1,100,91406,Non-Refrigerated Warehouse,8.6,26,1120,1981
52.5,-82.2,-82.2,70635,1,100,91304,Office,10.7,29.1,247.6,1973
132.3,20.5,20.5,64000,1,100,90045,Distribution Center,31.8,71.4,114.6,1969
416.7,-42.1,-42.1,121994,1,90,90064,Office,47.5,131.9,1576.9,1990
17.4,-72.5,-72.5,55200,1,100,90018,Self-Storage Facility,4.2,13.1,120,2016
56.8,-9.2,-9.2,25474,1,95,90027,Multifamily Housing,36.6,67.2,887.2,1960
2654.6,20.9,20.9,511340,1,95,91324,Enclosed Mall,73.7,206.4,24285.9,1971
83.4,-47.9,-47.9,60156,1,95,91607,Multifamily Housing,18.3,57.4,1834.2,1987
755.3,-52.8,-52.8,248000,1,95,91436,Office,45.2,112.6,3906.6,1974
367.4,-13.2,-13.2,154818,1,100,90036,Multifamily Housing,35.1,83.8,6376,1664
126.4,56.6,56.6,34305,1,100,90020,Multifamily Housing,58.7,118.9,2173.6,1987
50.4,7.1,7.1,9800,1,100,91311,Fire Station,80.2,165.3,328.7,1962
149.1,-13.6,-13.6,55022,1,95,91367,Multifamily Housing,44.5,81.5,3257.7,1971
165.3,-32.9,-32.9,44500,1,95,91411,Financial Office,52.7,147.7,755.9,1962
177.4,-59.3,-59.3,281135,1,90,90004,Multifamily Housing,9.5,21.5,3,1987
40.1,0.3,0.3,9800,1,100,91311,Fire Station,66.8,125.3,621,1962
129.5,-60.8,-60.8,127429,1,95,91403,Multifamily Housing,18.1,24.4,5462.1,2008
147.1,48.7,48.7,39939,1,100,90046,Multifamily Housing,58.7,118.9,2530.5,1963
2278.2,327.7,327.7,143139,1,100,90007,Laboratory,244.4,526.6,4592.1,2004
10.6,-88.4,-88.4,30853,1,100,90005,Multifamily Housing,4.9,13.7,3271.2,1948
32.7,-45.7,-45.7,49979,1,85,90025,Self-Storage Facility,9.3,26,9.8,2006
381.1,-36.1,-36.1,155446,1,100,90005,Multifamily Housing,36.9,83.9,7411.3,1969
281.7,-81.1,-81.1,466134,1,100,90013,Multifamily Housing,10.8,14.3,9704.9,1908
548.4,-6.8,-6.8,152550,1,95,91303,Multifamily Housing,56.7,113.3,11981.5,1978
12.8,-69.1,-69.1,55000,1,100,90033,Distribution Center,3.3,9.3,21,1971
23,-21.3,-21.3,12000,1,100,91344,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",27.2,76.3,21.2,1995
63.3,28.1,28.1,13670,1,100,90039,Library,65.7,184,204.6,2009
598.8,-8.7,-8.7,104177,1,100,90041,College/University,96.3,165,396.8,1970
526.3,224.4,224.4,72243,1,100,91311,Other - Public Services,103.4,289.6,461.5,1989
6009.2,-18.9,-18.9,560878,1,100,91405,Hospital (General Medical & Surgical),170.9,344.6,37645.6,1980
57.3,-4.1,-4.1,34429,1,100,90003,Multifamily Housing,25.7,57.2,85.3,2013
66.5,-10,-10,22401,1,100,91402,Multifamily Housing,49.9,84.6,1189.2,1962
69.9,-5.3,-5.3,16236,1,100,91352,Fire Station,65.2,146.1,294.9,2005
181.3,-16.1,-16.1,81326,1,95,91303,Multifamily Housing,36.6,67.2,3511.8,1963
56.2,-19.6,-19.6,22364,1,100,90006,Multifamily Housing,43.3,66.8,1246.3,1928
69.5,-27,-27,34150,1,95,91423,Multifamily Housing,32.3,66.2,1391.3,1964
54.7,-56.6,-56.6,53008,1,90,91340,Mixed Use Property,15.2,38.7,697.2,1986
983.9,-29.7,-29.7,468945,2,0,91364,Multifamily Housing,33.2,65.7,16177.4,2014
236.6,-37.8,-37.8,128000,1,100,91342,Distribution Center,24.4,76.5,1028,1978
63.1,-55,-55,65750,0,100,90031,Multifamily Housing,16.6,25.5,2140.8,2008
192.3,-22.8,-22.8,88134,1,100,91331,Multifamily Housing,35.8,65.8,3758.2,1984
43.3,-4.5,-4.5,20574,1,100,90006,Multifamily Housing,33.6,67.5,1092.2,1961
565.9,10.2,10.2,148707,1,95,90015,Multifamily Housing,55.7,136.3,4403,1994
1697.4,13.6,13.6,250000,1,75,90048,Hotel,44.9,139.9,20315.6,1986
1422.8,457.9,457.9,78711,1,100,91406,Non-Refrigerated Warehouse,311,469.7,714.4,1986
64.6,-58.7,-58.7,56577,1,90,90005,Multifamily Housing,16.2,45.4,2995.2,1971
26.6,-63.4,-63.4,60489,1,100,90047,Self-Storage Facility,6.2,17.5,60,2009
86.3,-58.5,-58.5,86584,1,95,91352,Non-Refrigerated Warehouse,13.1,41.3,775.7,1990
215.9,-18.3,-18.3,93635,1,100,90028,Multifamily Housing,39.1,64.1,5932.7,1928
306,24.1,24.1,68948,6,95,90031,Multifamily Housing,71.1,135.7,9164.4,2013
195.5,82.3,82.3,44000,1,100,90038,Other - Services,63.1,176.6,589.8,1947
103.8,-18.5,-18.5,34143,1,100,90028,Multifamily Housing,49.6,93.1,2301,1926
47.9,-48.9,-48.9,71000,1,100,90023,Distribution Center,9.1,27.1,144.1,1933
55.6,-22.1,-22.1,22010,1,95,91405,Multifamily Housing,41.6,75.4,1223.4,1972
283.3,28.1,28.1,29651,1,95,90018,Senior Care Community,159.1,278.5,4421.1,1969
302.5,-9,-9,120000,1,95,90004,Multifamily Housing,38.9,69,2834.9,1929
17.5,-89.1,-89.1,133479,3,85,90066,Self-Storage Facility,1.9,5.2,49.4,1985
7.9,-90.6,-90.6,36030,1,100,90038,Multifamily Housing,3.1,8.8,2918.7,1956
85.1,-10.1,-10.1,29823,1,100,91402,Multifamily Housing,48.7,78,1583.7,1962
427.9,-3.9,-3.9,146595,4,95,90049,Multifamily Housing,46.6,89.6,6952.5,1968
60.1,-69.9,-69.9,109016,1,20,90005,Worship Facility,7.8,21,241.9,1927
4.1,-93.5,-93.5,21528,1,100,90042,Multifamily Housing,2.7,7.6,1334.5,1962
36,-81.6,-81.6,150099,1,100,90031,Distribution Center,3.2,9.9,554.6,2009
814.6,-8.2,-8.2,362712,1,100,90005,Multifamily Housing,36.9,67.6,10531.1,1966
83.2,-27.3,-27.3,24012,1,95,90004,Residential Care Facility,63,78.1,2240,1968
42.1,-40.4,-40.4,15800,1,100,90731,Fire Station,39.9,92,411.4,1987
134.7,-4.2,-4.2,50880,1,100,90046,Multifamily Housing,41.8,83.2,2750.6,1971
35.1,-88.6,-88.6,123650,1,95,91606,Multifamily Housing,3.7,11.8,454.1,1991
346.2,-12.6,-12.6,122984,1,95,91607,Multifamily Housing,43,93.9,5396.4,2010
113.2,-3.6,-3.6,37238,1,70,90017,Office,46.4,106.9,316.2,1969
103.2,348.4,348.4,9368,1,100,91311,Other - Recreation,150.9,434.1,54.6,1976
114.5,3.1,3.1,175660,1,100,91406,Distribution Center,9.3,25.9,647.8,2000
336.6,1058.5,1058.5,19765,3,100,90064,Worship Facility,241.8,677,1867.9,1998
59.1,-28.3,-28.3,34651,1,95,90731,Multifamily Housing,26.2,59.2,2441.2,1963
26.4,-11.9,-11.9,10080,1,50,91406,Other,34.5,108.5,83.8,1981
